"MassTagID","Project_A_X_1","Project_A_X_2","Project_A_X_3","Project_B_X_1","Project_B_X_2","Project_B_X_3","Project_C_X_1","Project_C_X_2","Project_C_X_3","Project_A_Y_1","Project_A_Y_2","Project_A_Y_3","Project_B_Y_1","Project_B_Y_2","Project_B_Y_3","Project_C_Y_1","Project_C_Y_2","Project_C_Y_3"
484430681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12573974,1161542.5,38870258,46329142,107972964
484430682,NA,NA,NA,NA,NA,NA,NA,NA,NA,5423427,3645435,5332157.5,58470866,89167883,66250431,846480248,983123627,815567944
484430683,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368467,1561759,1979379,28584686,34536021,21664514,282426628,303626318,298553666
484430688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484430694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484430700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200560,94240,419982,365748,2499176,114311
484430701,NA,NA,NA,NA,NA,NA,NA,NA,NA,3846472,2451362,4195571,57146134,70021509,53860491,619861209,640559253,690403399
484430705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4424929,4531153.5,3381981.5,53083040,67721663,59248477
484430706,NA,NA,NA,NA,NA,NA,NA,NA,NA,1169096,764322,1054988,12692376,16802111,6469765,98817588,95538336,89494388
484430715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28183447,33807207,32256624,394767673,466702393,336340873
484430740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13607100,7630064,16527545,201683368,251992658,155931801
484431103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4069308,14250276,3366786.5,27628873,81284110,50501526
484431108,NA,NA,NA,NA,NA,NA,NA,NA,NA,2159654,1505164,3450931,36017749,34246598,44719619,519588444,473139140.5,455832116
484431480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484431481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11275103,10016159,11646530
484431482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3504302,3483790,2945088,58842010,67880460,40476949
484431484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165248
484431488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1756845,NA,10666209.5,280849838.5,286046435,108351299
484431847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824989,NA,NA,12175824,20493638,13389818
484431953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1778047,3844042,381550.5
484432186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541256,NA
484432235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484434289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484443180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
